event_id,provider,details,spread_current,spread_open_home,spread_close_home,spread_open_away,spread_close_away,total_current,total_open,total_close,ml_home,ml_away,home_favorite,leg_swap_corrected
401756846,ESPN BET,KSU -2.5,-2.5,-3.0,-2.5,3.0,2.5,51.5,49.5,51.5,-140.0,120.0,True,False
401760371,ESPN BET,UNLV -30.5,-30.5,-26.5,-30.5,26.5,30.5,67.5,63.5,67.5,-10000.0,2500.0,True,False
401756847,ESPN BET,KU -14.5,-14.5,-12.5,-14.5,12.5,14.5,50.5,51.5,50.5,-700.0,450.0,True,False
401757218,ESPN BET,WKU -10.5,-10.5,-10.5,-10.5,10.5,10.5,60.5,61.5,60.5,-400.0,300.0,True,False
401754516,ESPN BET,HAW -1.5,-1.5,2.5,-1.5,-2.5,1.5,50.5,53.5,50.5,-120.0,100.0,True,False
401761588,ESPN BET,ULM -30.5,-30.5,-26.5,-30.5,26.5,30.5,47.5,45.5,47.5,,,True,False
401756876,ESPN BET,,,,,,,56.5,55.5,56.5,-4000.0,1300.0,False,False
401754517,ESPN BET,,,,,,,50.5,47.5,50.5,,,False,False
401752674,ESPN BET,MIZ -39.5,-39.5,-36.5,-39.5,36.5,39.5,53.5,51.5,53.5,,,True,False
401757219,ESPN BET,DEL -30.5,-30.5,-32.5,-30.5,32.5,30.5,55.5,54.5,55.5,-10000.0,2500.0,True,False
401762789,ESPN BET,WYO -4.5,4.5,6.5,4.5,-6.5,-4.5,47.5,48.5,47.5,170.0,-200.0,False,False
401754373,ESPN BET,NCSU -13.5,-13.5,-14.5,-13.5,14.5,13.5,61.5,61.5,61.5,-550.0,380.0,True,False
401756848,ESPN BET,UCF -20.5,-20.5,-18.5,-20.5,18.5,20.5,52.5,52.5,52.5,-1600.0,800.0,True,False
401762790,ESPN BET,BGSU -21.5,-21.5,-13.5,-21.5,13.5,21.5,53.5,52.5,53.5,-1600.0,800.0,True,False
401752794,ESPN BET,RUTG -15.5,-15.5,-15.5,-15.5,15.5,15.5,53.5,49.5,53.5,-750.0,475.0,True,False
401762522,ESPN BET,BOIS -5.5,5.5,5.5,5.5,-5.5,-5.5,60.5,63.5,60.5,170.0,-200.0,False,False
401756854,ESPN BET,KU -45.5,-45.5,-45.5,-45.5,45.5,45.5,57.5,56.5,57.5,,,True,False
401761589,ESPN BET,APP -19.5,19.5,6.5,19.5,-6.5,-19.5,,,,1300.0,-5000.0,False,False
401754374,ESPN BET,WAKE -18.5,-18.5,-17.5,-18.5,17.5,18.5,51.5,51.5,51.5,-1200.0,700.0,True,False
401762432,ESPN BET,ARMY -14.5,-14.5,-15.5,-14.5,15.5,14.5,47.5,51.5,47.5,-600.0,400.0,True,False
401752795,ESPN BET,ILL -48.5,-48.5,-45.5,-48.5,45.5,48.5,63.5,61.5,63.5,,,True,False
401752802,ESPN BET,MSU -22.5,-22.5,-20.5,-22.5,20.5,22.5,50.5,49.5,50.5,-2000.0,1000.0,True,False
401762791,ESPN BET,WIS -18.5,-18.5,-17.5,-18.5,17.5,18.5,41.5,39.5,41.5,-1400.0,750.0,True,False
401752796,ESPN BET,NEB -5.5,5.5,6.5,5.5,-6.5,-5.5,50.5,54.5,50.5,175.0,-210.0,False,False
401762430,ESPN BET,UAB -21.5,-21.5,-18.5,-21.5,18.5,21.5,53.5,53.5,53.5,-2000.0,1000.0,True,False
401756852,ESPN BET,HOU -23.5,-23.5,-22.5,-23.5,22.5,23.5,54.5,55.5,54.5,-3000.0,1200.0,True,False
401752793,ESPN BET,MINN -16.5,-16.5,-17.5,-16.5,17.5,16.5,41.5,44.5,41.5,-900.0,550.0,True,False
401760357,ESPN BET,,,,,,,53.5,53.5,53.5,-1600.0,800.0,False,False
401762793,ESPN BET,NIU -13.5,-13.5,-10.5,-13.5,10.5,13.5,48.5,51.5,48.5,-425.0,320.0,True,False
401762456,ESPN BET,TEM -2.5,2.5,2.5,2.5,-2.5,-2.5,48.5,47.5,48.5,110.0,-130.0,False,False
401760359,ESPN BET,AF -30.5,-30.5,-31.5,-30.5,31.5,30.5,53.5,55.5,53.5,-20000.0,3000.0,True,False
401754519,ESPN BET,LOU -37.5,-37.5,-38.5,-37.5,38.5,37.5,57.5,56.5,57.5,,,True,False
401756878,ESPN BET,WVU -43.5,-43.5,-38.5,-43.5,38.5,43.5,58.5,55.5,58.5,,,True,False
401754518,ESPN BET,BC -34.5,-34.5,-37.5,-34.5,37.5,34.5,52.5,53.5,52.5,-100000.0,4000.0,True,False
401752670,ESPN BET,UK -9.5,-9.5,-9.5,-9.5,9.5,9.5,48.5,48.5,48.5,-360.0,280.0,True,False
401757220,ESPN BET,LIB -25.5,-25.5,-26.0,-25.5,26.0,25.5,50.5,52.5,50.5,-2500.0,1100.0,True,False
401757167,ESPN BET,CONN -29.5,-29.5,-28.5,-29.5,28.5,29.5,51.5,51.5,51.5,-100000.0,4000.0,True,False
401752666,ESPN BET,ARK -45.5,-45.5,-46.5,-45.5,46.5,45.5,62.5,61.5,62.5,,,True,False
401761591,ESPN BET,ARST -15.5,-15.5,-10.0,-15.5,10.0,15.5,59.5,59.5,59.5,-700.0,450.0,True,False
401525434,ESPN BET,ND -20.5,-20.5,,-20.5,,20.5,49.5,,49.5,-1600.0,900.0,True,False
401520145,ESPN BET,JXST -0.5,-0.5,,-0.5,,0.5,54.5,,54.5,-115.0,-110.0,True,False
401525450,ESPN BET,NMSU -6.5,-6.5,,-6.5,,6.5,44.5,,44.5,-275.0,225.0,True,False
401532392,ESPN BET,SDSU -2.5,-2.5,,-2.5,,2.5,47.5,,47.5,-125.0,105.0,True,False
401523986,ESPN BET,USC -31,-31.0,,-31.0,,31.0,59.5,,59.5,-15000.0,2200.0,True,False
401520146,ESPN BET,LT -12.5,-12.5,,-12.5,,12.5,56.5,,56.5,-475.0,375.0,True,False
401520147,ESPN BET,VAN -17,-17.0,,-17.0,,17.0,54.5,,54.5,-1000.0,700.0,True,False
401525461,ESPN BET,WAKE -33.5,-33.5,,-33.5,,33.5,53.5,,53.5,-20000.0,4000.0,True,False
401525816,ESPN BET,UCF -34.5,-34.5,,-34.5,,34.5,52.5,,52.5,-20000.0,2000.0,True,False
401531834,ESPN BET,GAST -18.5,-18.5,,-18.5,,18.5,60.5,,60.5,-900.0,600.0,True,False
401532393,ESPN BET,WMU -21.5,-21.5,,-21.5,,21.5,54.5,,54.5,-4000.0,1500.0,True,False
401520174,ESPN BET,NCSU -14.5,14.5,,14.5,,-14.5,47.5,,47.5,500.0,-700.0,False,False
401525462,ESPN BET,LOU -7.5,7.5,,7.5,,-7.5,48.5,,48.5,250.0,-300.0,False,False
401525463,ESPN BET,MIA -16.5,-16.5,,-16.5,,16.5,44.5,,44.5,-850.0,600.0,True,False
401520163,ESPN BET,MSU -14.5,-14.5,,-14.5,,14.5,44.5,,44.5,-550.0,425.0,True,False
401532394,ESPN BET,EMU -20.5,-20.5,,-20.5,,20.5,55.5,,55.5,-1800.0,800.0,True,False
401523987,ESPN BET,ASU -34.5,-34.5,,-34.5,,34.5,61.5,,61.5,-10000.0,3000.0,True,False
401531337,ESPN BET,TLSA -41.5,-41.5,,-41.5,,41.5,53.5,,53.5,,,True,False
401520165,ESPN BET,MIZ -27.5,-27.5,,-27.5,,27.5,44.5,,44.5,-6000.0,2000.0,True,False
401520148,ESPN BET,MINN -7.5,-7.5,,-7.5,,7.5,42.5,,42.5,-300.0,240.0,True,False
401520176,ESPN BET,UTAH -6.5,-6.5,,-6.5,,6.5,44.5,,44.5,-220.0,190.0,True,False
401531377,ESPN BET,UAB -24.5,-24.5,,-24.5,,24.5,44.5,,44.5,-2500.0,1300.0,True,False
401532572,ESPN BET,UNLV -15.5,-15.5,,-15.5,,15.5,65.5,,65.5,-900.0,500.0,True,False
401525466,ESPN BET,SYR -40.5,-40.5,,-40.5,,40.5,48.5,,48.5,,,True,False
401523991,ESPN BET,CAL -5.5,5.5,,5.5,,-5.5,52.5,,52.5,190.0,-230.0,False,False
401520164,ESPN BET,MSST -32.5,-32.5,,-32.5,,32.5,58.5,,58.5,-10000.0,3000.0,True,False
401531835,ESPN BET,APP -24.5,-24.5,,-24.5,,24.5,51.5,,51.5,-2000.0,1100.0,True,False
401525818,ESPN BET,CIN -20.5,-20.5,,-20.5,,20.5,57.5,,57.5,-1400.0,800.0,True,False
401520161,ESPN BET,MD -35.5,-35.5,,-35.5,,35.5,54.5,,54.5,,,True,False
